case_id,dataset_split,cv_group_flow,flow_rate_Lmin,TIM_thickness_mm,TIM_conductivity_W_mK,TIM_resistance_theory_K_W,system_thermal_resistance_K_W,Tmax_chip_C,Tout_mass_weighted_C,pressure_drop_Pa,pumping_power_W,thermal_limit_pass,hydraulic_qc_pass,energy_balance_available,preliminary_ml_include
COLD45_01,train_cv,flow_0.10,0.1,0.1,1.5,0.6666666666666666,1.0437208973602783,129.37208973602782,39.353868393706364,2967.8952844495207,0.004946492140749201,0,1,0,1
COLD45_02,train_cv,flow_0.15,0.15,0.1,1.5,0.6666666666666666,0.9963729025897561,124.63729025897561,34.56048496901161,4862.236639694947,0.012155591599237367,0,1,0,1
COLD45_03,train_cv,flow_0.20,0.2,0.1,1.5,0.6666666666666666,0.9676573627311279,121.7657362731128,32.16189802803291,6846.388699682013,0.02282129566560671,0,1,0,1
COLD45_04,test_holdout,flow_0.25,0.25,0.1,1.5,0.6666666666666666,0.9476565030468976,119.76565030468976,30.721913574789255,8879.26292076598,0.03699692883652492,0,1,0,1
COLD45_05,train_cv,flow_0.30,0.3,0.1,1.5,0.6666666666666666,0.93282552605143,118.282552605143,29.760947975417764,10930.734364074566,0.054653671820372826,0,1,0,1
COLD45_06,train_cv,flow_0.10,0.1,0.1,3.0,0.3333333333333333,0.7136862816813578,96.36862816813579,39.3537772848494,2967.8516456064467,0.004946419409344078,0,1,0,1
COLD45_07,train_cv,flow_0.15,0.15,0.1,3.0,0.3333333333333333,0.6662932965811865,91.62932965811865,34.56040916961143,4862.1872867900875,0.012155468216975218,0,1,0,1
COLD45_08,train_cv,flow_0.20,0.2,0.1,3.0,0.3333333333333333,0.6375348104233228,88.75348104233228,32.161827813456796,6846.342551601851,0.022821141838672836,0,1,0,1
COLD45_09,test_holdout,flow_0.25,0.25,0.1,3.0,0.3333333333333333,0.6175060709525587,86.75060709525587,30.721840790145507,8879.230958077424,0.036996795658655934,0,1,0,1
COLD45_10,train_cv,flow_0.30,0.3,0.1,3.0,0.3333333333333333,0.6026587106457254,85.26587106457254,29.760868891034136,10930.722634689007,0.05465361317344503,0,1,0,1
COLD45_11,train_cv,flow_0.10,0.1,0.1,6.0,0.16666666666666666,0.549901934786451,79.9901934786451,39.35373542759709,2967.8186682858086,0.004946364447143014,1,1,0,1
COLD45_12,train_cv,flow_0.15,0.15,0.1,6.0,0.16666666666666666,0.5024456803305504,75.24456803305503,34.56037380369827,4862.147838457208,0.01215536959614302,1,1,0,1
COLD45_13,train_cv,flow_0.20,0.2,0.1,6.0,0.16666666666666666,0.47363722522024093,72.36372252202409,32.16179220178839,6846.303252647019,0.02282101084215673,1,1,0,1
COLD45_14,test_holdout,flow_0.25,0.25,0.1,6.0,0.16666666666666666,0.45356656487649444,70.35665648764945,30.721806983378258,8879.205271872646,0.03699668863280269,1,1,0,1
COLD45_15,train_cv,flow_0.30,0.3,0.1,6.0,0.16666666666666666,0.43868364891672684,68.86836489167268,29.760833402765854,10930.716785305944,0.05465358392652971,1,1,0,1
COLD45_16,train_cv,flow_0.10,0.1,0.05,1.5,0.3333333333333333,0.7136603995877266,96.36603995877266,39.35319388631342,2968.013799105363,0.004946689665175605,0,1,0,1
COLD45_17,train_cv,flow_0.15,0.15,0.05,1.5,0.3333333333333333,0.6661055752040494,91.61055752040494,34.56033656441576,4863.341241230076,0.01215835310307519,0,1,0,1
COLD45_18,train_cv,flow_0.20,0.2,0.05,1.5,0.3333333333333333,0.6372475377239323,88.72475377239323,32.16177579740366,6849.746254624134,0.02283248751541378,0,1,0,1
COLD45_19,test_holdout,flow_0.25,0.25,0.05,1.5,0.3333333333333333,0.6171477211950162,86.71477211950162,30.721753127550357,8885.658784801615,0.037023578270006734,0,1,0,1
COLD45_20,train_cv,flow_0.30,0.3,0.05,1.5,0.3333333333333333,0.6022440518678588,85.22440518678587,29.760785988743237,10941.169092094691,0.054705845460473454,0,1,0,1
COLD45_21,train_cv,flow_0.10,0.1,0.05,3.0,0.16666666666666666,0.5495291687121329,79.95291687121329,39.353137263646715,2967.983094257629,0.004946638490429382,1,1,0,1
COLD45_22,train_cv,flow_0.15,0.15,0.05,3.0,0.16666666666666666,0.5019137568264529,75.19137568264529,34.560288802493005,4863.304688597845,0.01215826172149461,1,1,0,1
COLD45_23,train_cv,flow_0.20,0.2,0.05,3.0,0.16666666666666666,0.4730091863845769,72.30091863845769,32.16172935836073,6849.710791909459,0.022832369306364862,1,1,0,1
COLD45_24,test_holdout,flow_0.25,0.25,0.05,3.0,0.16666666666666666,0.45286885745180255,70.28688574518026,30.721707231180176,8885.63356029993,0.037023473167916376,1,1,0,1
COLD45_25,train_cv,flow_0.30,0.3,0.05,3.0,0.16666666666666666,0.4379294908177815,68.79294908177815,29.760738940787235,10941.161697465312,0.054705808487326556,1,1,0,1
COLD45_26,train_cv,flow_0.10,0.1,0.05,6.0,0.08333333333333333,0.4678951467193463,71.78951467193463,39.35311174908168,2967.961683203753,0.004946602805339589,1,1,0,1
COLD45_27,train_cv,flow_0.15,0.15,0.05,6.0,0.08333333333333333,0.4202421775082115,67.02421775082115,34.56027026354849,4863.277619141467,0.012158194047853666,1,1,0,1
